Geneid	HS14	HS15
ENSG00000000003	221	236
ENSG00000000005	3	2
ENSG00000000419	731	744
ENSG00000000457	321	348
ENSG00000000460	142	126
ENSG00000000938	53	65
ENSG00000000971	869	1382
ENSG00000001036	543	542
ENSG00000001084	514	478
ENSG00000001167	748	736
ENSG00000001460	141	139
ENSG00000001461	1353	1393
ENSG00000001497	895	884
ENSG00000001561	929	959
ENSG00000001617	280	249
ENSG00000001626	13	10
ENSG00000001629	1466	1465
ENSG00000001630	77	74
ENSG00000001631	755	848
ENSG00000002016	531	521
ENSG00000002079	26	23
ENSG00000002330	316	345
ENSG00000002549	839	1013
ENSG00000002586	0	0
ENSG00000002587	180	117
ENSG00000002726	7	8
ENSG00000002745	0	5
ENSG00000002746	1	8
ENSG00000002822	56	60
ENSG00000002834	1015	1039
ENSG00000002919	245	234
ENSG00000002933	383	537
ENSG00000003056	1282	1404
ENSG00000003096	334	313
ENSG00000003137	572	325
ENSG00000003147	1591	1535
ENSG00000003249	39	27
ENSG00000003393	3265	3484
ENSG00000003400	369	398
ENSG00000003402	12239	13747
ENSG00000003436	1274	1634
ENSG00000003509	465	463
ENSG00000003756	2818	2664
ENSG00000003987	82	102
ENSG00000003989	3189	1823
ENSG00000004059	404	438
ENSG00000004139	247	243
ENSG00000004142	1665	1942
ENSG00000004399	3583	3860
ENSG00000004455	2090	2208
ENSG00000004468	62	55
ENSG00000004478	872	910
ENSG00000004487	1712	1649
ENSG00000004534	2300	2412
ENSG00000004660	302	254
ENSG00000004700	583	466
ENSG00000004766	689	724
ENSG00000004776	209	128
ENSG00000004777	219	234
ENSG00000004779	2259	2612
ENSG00000004799	3168	5956
ENSG00000004809	0	0
ENSG00000004838	28	26
ENSG00000004846	1	1
ENSG00000004848	0	1
ENSG00000004864	316	342
ENSG00000004866	546	535
ENSG00000004897	1830	1888
ENSG00000004939	1	4
ENSG00000004948	4	9
ENSG00000004961	603	642
ENSG00000004975	672	654
ENSG00000005001	0	0
ENSG00000005007	1831	1916
ENSG00000005020	196	166
ENSG00000005022	1692	2142
ENSG00000005059	234	196
ENSG00000005073	0	0
ENSG00000005075	498	327
ENSG00000005100	382	430
ENSG00000005102	329	594
ENSG00000005108	207	302
ENSG00000005156	955	902
ENSG00000005175	422	454
ENSG00000005187	562	411
ENSG00000005189	115	133
ENSG00000005194	654	792
ENSG00000005206	762	670
ENSG00000005238	513	591
ENSG00000005243	515	699
ENSG00000005249	786	754
ENSG00000005302	384	351
ENSG00000005339	3653	3701
ENSG00000005379	1095	888
ENSG00000005381	14	6
ENSG00000005421	35	49
ENSG00000005436	546	562
ENSG00000005448	82	85
ENSG00000005469	393	328
ENSG00000005471	806	617
ENSG00000005483	3393	3194
ENSG00000005486	626	641
ENSG00000005513	151	147
ENSG00000005700	1898	2074
ENSG00000005801	483	502
ENSG00000005810	6375	6009
ENSG00000005812	702	738
ENSG00000005844	182	117
ENSG00000005882	1900	1799
ENSG00000005884	1178	1051
ENSG00000005889	2423	2326
ENSG00000005893	1682	2168
ENSG00000005961	54	44
ENSG00000005981	133	97
ENSG00000006007	1476	1665
ENSG00000006015	500	506
ENSG00000006016	87	52
ENSG00000006025	370	417
ENSG00000006042	628	546
ENSG00000006047	131	112
ENSG00000006059	0	0
ENSG00000006062	513	375
ENSG00000006071	761	603
ENSG00000006116	0	0
ENSG00000006118	176	223
ENSG00000006125	5132	4972
ENSG00000006128	0	0
ENSG00000006194	264	223
ENSG00000006210	373	578
ENSG00000006282	2120	835
ENSG00000006283	115	167
ENSG00000006327	129	333
ENSG00000006377	2	0
ENSG00000006432	185	198
ENSG00000006451	494	571
ENSG00000006453	127	120
ENSG00000006459	1588	1637
ENSG00000006468	1711	2097
ENSG00000006530	383	377
ENSG00000006534	118	109
ENSG00000006555	7	2
ENSG00000006576	710	765
ENSG00000006606	5	1
ENSG00000006607	802	793
ENSG00000006611	2	3
ENSG00000006625	111	112
ENSG00000006634	77	74
ENSG00000006638	58	56
ENSG00000006652	255	292
ENSG00000006659	0	0
ENSG00000006695	970	1024
ENSG00000006704	580	502
ENSG00000006712	1110	1104
ENSG00000006715	1535	1550
ENSG00000006740	397	402
ENSG00000006744	1596	1575
ENSG00000006747	13	17
ENSG00000006756	439	421
ENSG00000006757	416	442
ENSG00000006788	44	56
ENSG00000006831	1626	1638
ENSG00000006837	35	38
ENSG00000007001	5	7
ENSG00000007038	0	0
ENSG00000007047	774	751
ENSG00000007062	560	305
ENSG00000007080	429	509
ENSG00000007129	0	0
ENSG00000007168	4448	4651
ENSG00000007171	22	11
ENSG00000007174	18	17
ENSG00000007202	3169	3249
ENSG00000007216	0	0
ENSG00000007237	5126	5052
ENSG00000007255	101	99
ENSG00000007264	26	8
ENSG00000007306	0	0
ENSG00000007312	5	13
ENSG00000007314	27	64
ENSG00000007341	457	444
ENSG00000007350	87	71
ENSG00000007372	3	4
ENSG00000007376	175	200
ENSG00000007384	676	684
ENSG00000007392	1069	1040
ENSG00000007402	638	601
ENSG00000007516	95	111
ENSG00000007520	331	404
ENSG00000007541	455	402
ENSG00000007545	441	482
ENSG00000007866	852	982
ENSG00000007908	16	19
ENSG00000007923	1448	1484
ENSG00000007933	50	137
ENSG00000007944	514	742
ENSG00000007952	4	4
ENSG00000007968	6	6
ENSG00000008018	1417	1558
ENSG00000008056	85	69
ENSG00000008083	962	984
ENSG00000008086	1269	1247
ENSG00000008118	24	11
ENSG00000008128	22	35
ENSG00000008130	471	559
ENSG00000008196	3	2
ENSG00000008197	0	0
ENSG00000008226	97	81
ENSG00000008256	1512	1802
