Geneid	HS13
ENSG00000183431	517
ENSG00000227485	0
ENSG00000224609	27
ENSG00000235545	5
ENSG00000236646	248
ENSG00000232198	1
ENSG00000238063	0
ENSG00000227104	1
ENSG00000243725	45
ENSG00000171872	1
ENSG00000162407	3055
ENSG00000285079	0
ENSG00000169218	10
ENSG00000163877	402
ENSG00000228929	3320
ENSG00000224570	22
ENSG00000224980	8
ENSG00000278967	13
ENSG00000157184	509
ENSG00000198815	1924
ENSG00000134744	2163
ENSG00000233910	0
ENSG00000287703	0
ENSG00000283039	1
ENSG00000229032	0
ENSG00000229294	14
ENSG00000232993	0
ENSG00000234088	0
ENSG00000236973	29
ENSG00000277397	0
ENSG00000271200	14
ENSG00000235446	0
ENSG00000261196	1
ENSG00000162385	184
ENSG00000234264	1
ENSG00000242391	0
ENSG00000223883	0
ENSG00000284808	4
ENSG00000237227	0
ENSG00000275350	0
ENSG00000116652	52
ENSG00000123080	388
ENSG00000285778	0
ENSG00000233407	0
ENSG00000225675	1
ENSG00000237622	0
ENSG00000162598	3
ENSG00000280317	0
ENSG00000162415	193
ENSG00000162600	572
ENSG00000116704	489
ENSG00000227644	0
ENSG00000157193	85
ENSG00000116205	516
ENSG00000198841	20
ENSG00000116212	327
ENSG00000234204	0
ENSG00000233099	0
ENSG00000233994	455
ENSG00000233973	0
ENSG00000237552	0
ENSG00000132854	7
ENSG00000227556	0
ENSG00000162607	548
ENSG00000233602	48
ENSG00000233271	0
ENSG00000285954	1
ENSG00000233333	4
ENSG00000154027	62
ENSG00000234108	0
ENSG00000232676	14
ENSG00000225167	0
ENSG00000213579	2
ENSG00000137960	123
ENSG00000237852	3
ENSG00000116745	3
ENSG00000132855	17
ENSG00000285407	0
ENSG00000272855	2
ENSG00000270549	3
ENSG00000237163	0
ENSG00000229636	0
ENSG00000116675	1025
ENSG00000162433	2172
ENSG00000213625	1784
ENSG00000227207	5
ENSG00000227016	0
ENSG00000233664	0
ENSG00000158966	442
ENSG00000213703	11
ENSG00000203965	419
ENSG00000223479	0
ENSG00000233674	12
ENSG00000153898	48
ENSG00000117069	41
ENSG00000125703	195
ENSG00000285041	1
ENSG00000285808	0
ENSG00000229440	0
ENSG00000234144	6
ENSG00000213540	213
ENSG00000277670	0
ENSG00000227466	2
ENSG00000154007	1
ENSG00000230498	5
ENSG00000285782	8
ENSG00000162618	1302
ENSG00000224493	4
ENSG00000131233	7
ENSG00000272371	5
ENSG00000287647	2
ENSG00000229225	0
ENSG00000230863	88
ENSG00000287224	7
ENSG00000225598	0
ENSG00000286455	0
ENSG00000225087	0
ENSG00000280378	33
ENSG00000188786	577
ENSG00000230053	34
ENSG00000137941	1143
ENSG00000224326	0
ENSG00000286548	23
ENSG00000066135	639
ENSG00000230027	0
ENSG00000233061	67
ENSG00000272094	5
ENSG00000228853	2
ENSG00000215874	0
ENSG00000232453	30
ENSG00000260386	0
ENSG00000284895	0
ENSG00000117174	387
ENSG00000237413	3
ENSG00000184313	429
ENSG00000284645	0
ENSG00000225605	2
ENSG00000225446	3
ENSG00000288543	4
ENSG00000122420	26
ENSG00000284240	10
ENSG00000236290	0
ENSG00000143013	882
ENSG00000226084	2311
ENSG00000134748	569
ENSG00000142892	799
ENSG00000219102	7
ENSG00000184005	268
ENSG00000230953	115
ENSG00000287743	3
ENSG00000229332	0
ENSG00000227937	0
ENSG00000229752	0
ENSG00000237505	25
ENSG00000285462	0
ENSG00000233216	2
ENSG00000197273	0
ENSG00000226804	0
ENSG00000285325	11
ENSG00000230728	23
ENSG00000232846	17
ENSG00000230787	14
ENSG00000116641	1327
ENSG00000223920	1
ENSG00000237453	0
ENSG00000172260	537
ENSG00000285473	0
ENSG00000237959	0
ENSG00000231364	9
ENSG00000234578	0
ENSG00000117480	398
ENSG00000137944	162
ENSG00000229505	2
ENSG00000228187	96
ENSG00000285201	0
ENSG00000182183	6
ENSG00000236407	0
ENSG00000271949	0
ENSG00000227062	0
ENSG00000067334	991
ENSG00000235011	0
ENSG00000235673	1
ENSG00000226938	0
ENSG00000213559	0
ENSG00000287587	0
ENSG00000142949	625
ENSG00000116133	369
ENSG00000232882	151
ENSG00000171502	691
ENSG00000162399	0
ENSG00000116157	214
ENSG00000143036	163
ENSG00000232672	0
ENSG00000230817	0
ENSG00000065243	1689
ENSG00000226759	7
ENSG00000226960	0
ENSG00000234080	5
ENSG00000237899	3
ENSG00000223905	13
ENSG00000227290	14
ENSG00000229486	0
ENSG00000282898	1
ENSG00000285409	0
ENSG00000231090	1
ENSG00000117528	1357
ENSG00000271723	29
ENSG00000172339	162
ENSG00000036549	1596
ENSG00000287724	0
ENSG00000058799	496
ENSG00000225191	6
ENSG00000287870	1
ENSG00000235563	0
ENSG00000232048	0
ENSG00000232857	3
ENSG00000273637	0
ENSG00000203985	0
ENSG00000228838	1
ENSG00000283761	29
ENSG00000189433	2
ENSG00000230759	0
ENSG00000231866	3
ENSG00000179178	12
ENSG00000142700	0
ENSG00000285525	0
ENSG00000236098	10
ENSG00000233514	122
ENSG00000127124	431
ENSG00000266993	24
ENSG00000223675	1
ENSG00000162604	676
ENSG00000229316	0
ENSG00000116171	2582
ENSG00000287406	0
ENSG00000225767	33
ENSG00000234099	1
ENSG00000137936	628
ENSG00000235308	9
ENSG00000232752	0
ENSG00000235829	1
ENSG00000143032	0
ENSG00000226745	327
ENSG00000178028	1305
ENSG00000280040	2
ENSG00000168710	2258
ENSG00000117519	3067
ENSG00000270507	0
ENSG00000238037	0
ENSG00000215869	25
ENSG00000134215	223
ENSG00000227935	3
ENSG00000228502	1388
ENSG00000236268	0
ENSG00000271277	0
ENSG00000236888	4
ENSG00000279778	7
ENSG00000230955	0
ENSG00000230828	0
ENSG00000188641	1468
ENSG00000152078	977
ENSG00000237279	6
ENSG00000233359	0
ENSG00000237954	0
ENSG00000185668	4
ENSG00000171492	292
ENSG00000233129	0
ENSG00000170989	2293
ENSG00000258634	138
ENSG00000233557	0
ENSG00000237897	38
ENSG00000116299	15
ENSG00000137962	3538
ENSG00000227832	0
ENSG00000286692	1
ENSG00000260464	25
ENSG00000237435	0
ENSG00000231996	0
ENSG00000273204	6
ENSG00000079739	3849
ENSG00000117154	58
ENSG00000162377	277
ENSG00000224613	0
ENSG00000215871	8
ENSG00000287372	0
ENSG00000232542	11
ENSG00000116774	662
ENSG00000287756	2
ENSG00000284652	8
ENSG00000023909	324
ENSG00000069702	2214
ENSG00000232185	12
ENSG00000230489	2
ENSG00000228399	87
ENSG00000236776	21
ENSG00000224685	0
ENSG00000287076	0
ENSG00000237480	0
ENSG00000271252	0
ENSG00000230427	7
ENSG00000235794	0
ENSG00000286758	6
ENSG00000237337	2
ENSG00000233983	0
ENSG00000198198	5404
ENSG00000225183	11
ENSG00000230402	0
ENSG00000116793	459
ENSG00000238122	0
ENSG00000260879	0
ENSG00000283354	1
ENSG00000232918	0
ENSG00000236360	5
ENSG00000183298	588
ENSG00000234332	83
ENSG00000117525	532
ENSG00000225079	0
ENSG00000226483	0
ENSG00000224238	112
ENSG00000229537	0
ENSG00000162699	0
ENSG00000162692	365
ENSG00000203914	957
ENSG00000270457	0
ENSG00000203858	0
ENSG00000231987	0
ENSG00000228057	472
ENSG00000261593	0
ENSG00000224445	7
ENSG00000229842	0
ENSG00000270631	0
ENSG00000229201	0
ENSG00000181656	5
ENSG00000122481	114
ENSG00000198162	2858
ENSG00000238198	148
ENSG00000171517	744
ENSG00000228852	48
ENSG00000203864	0
ENSG00000233482	0
ENSG00000230250	1
ENSG00000232878	35
ENSG00000143079	942
ENSG00000232450	32
ENSG00000223575	16
ENSG00000230768	1
ENSG00000235202	0
ENSG00000272715	5
ENSG00000235038	1
ENSG00000143093	1336
ENSG00000226415	5509
ENSG00000085491	627
ENSG00000173947	206
ENSG00000230434	0
ENSG00000230718	3
ENSG00000134198	421
ENSG00000235595	2
ENSG00000226053	0
ENSG00000226128	4
ENSG00000198799	1402
ENSG00000279513	32
ENSG00000117620	482
ENSG00000280186	4
ENSG00000223906	0
ENSG00000162688	3357
ENSG00000197106	7
ENSG00000259946	0
ENSG00000236137	3
ENSG00000203859	2
ENSG00000228086	5
ENSG00000213421	1
ENSG00000234020	0
ENSG00000236804	10
ENSG00000231072	0
ENSG00000273406	0
ENSG00000185946	763
ENSG00000162627	411
ENSG00000226715	0
ENSG00000162695	501
ENSG00000265808	1020
ENSG00000261290	0
ENSG00000225923	16
ENSG00000134247	4391
ENSG00000187481	2
ENSG00000116752	264
ENSG00000162664	669
ENSG00000236866	2
ENSG00000134253	882
ENSG00000223416	102
ENSG00000179571	15
ENSG00000227850	283
ENSG00000235777	18
ENSG00000173218	797
ENSG00000285532	22
ENSG00000226755	22
ENSG00000232650	0
ENSG00000183508	1055
ENSG00000277095	5
ENSG00000234283	0
ENSG00000232780	2
ENSG00000274927	18
ENSG00000264145	0
ENSG00000238256	1
ENSG00000198765	0
ENSG00000224335	8
ENSG00000277702	41
ENSG00000143398	1151
ENSG00000196505	1008
ENSG00000223489	0
ENSG00000230546	0
ENSG00000213262	1
ENSG00000287015	1
ENSG00000235526	0
ENSG00000228347	0
ENSG00000236012	0
ENSG00000270911	6
ENSG00000134200	4
ENSG00000065183	859
ENSG00000227082	45
ENSG00000226126	0
ENSG00000163393	377
ENSG00000163156	314
ENSG00000143631	421
ENSG00000156150	0
ENSG00000228453	2
ENSG00000274642	1573
ENSG00000177551	0
ENSG00000197323	1420
ENSG00000237975	346
ENSG00000261168	77
ENSG00000287980	0
ENSG00000229283	0
ENSG00000271419	0
ENSG00000226172	4
ENSG00000079335	437
ENSG00000143119	224
ENSG00000237278	0
ENSG00000233432	57
ENSG00000227700	0
ENSG00000229911	7
ENSG00000143520	82
ENSG00000171943	768
ENSG00000270719	0
ENSG00000155761	11
ENSG00000230806	29
ENSG00000116830	770
ENSG00000234422	19
ENSG00000227056	20
ENSG00000227091	1
ENSG00000214204	0
ENSG00000081026	1057
ENSG00000225650	10
ENSG00000224965	8
ENSG00000228127	0
ENSG00000226984	10
ENSG00000186150	0
ENSG00000143458	1469
ENSG00000230932	0
ENSG00000073754	27
ENSG00000228826	14
ENSG00000233907	0
ENSG00000225036	25
ENSG00000228420	1
ENSG00000233839	5
ENSG00000250890	0
ENSG00000232240	0
ENSG00000230921	0
ENSG00000286151	0
ENSG00000234388	0
ENSG00000271736	0
ENSG00000233717	3
ENSG00000163155	511
ENSG00000241975	17
ENSG00000271143	0
ENSG00000270976	0
ENSG00000228217	185
ENSG00000270342	0
ENSG00000143552	31
ENSG00000175984	339
ENSG00000231100	0
ENSG00000116824	46
ENSG00000235887	2
ENSG00000237460	0
ENSG00000236887	0
ENSG00000024526	21
ENSG00000236480	2937
ENSG00000235756	0
ENSG00000173810	0
ENSG00000235005	0
ENSG00000271890	0
ENSG00000227425	1
ENSG00000225279	2
ENSG00000229101	0
ENSG00000239216	0
ENSG00000283360	14
ENSG00000117262	309
ENSG00000227907	0
ENSG00000227970	0
ENSG00000261055	4
ENSG00000231613	7
ENSG00000137947	367
ENSG00000236689	0
ENSG00000233589	0
ENSG00000117586	75
ENSG00000230946	28
ENSG00000226028	0
ENSG00000162728	4
ENSG00000229021	3
ENSG00000203825	220
ENSG00000184371	824
ENSG00000233449	0
ENSG00000242943	0
ENSG00000233203	0
ENSG00000232499	108
ENSG00000232265	4
ENSG00000163154	67
ENSG00000232995	33
ENSG00000238087	0
ENSG00000227777	0
ENSG00000177173	530
ENSG00000238022	0
ENSG00000231671	0
ENSG00000162729	737
ENSG00000143158	1008
ENSG00000271092	13
ENSG00000238118	0
ENSG00000276118	1
ENSG00000232148	0
ENSG00000278811	59
ENSG00000000460	126
ENSG00000188859	103
ENSG00000275075	2
ENSG00000135862	18034
ENSG00000232952	1050
ENSG00000227722	56
ENSG00000285922	0
ENSG00000275801	0
ENSG00000143198	4831
ENSG00000143318	196
ENSG00000232188	0
ENSG00000232212	1
ENSG00000143621	1707
ENSG00000241042	0
ENSG00000143155	543
ENSG00000260322	0
ENSG00000223495	0
ENSG00000143156	210
ENSG00000198771	1657
ENSG00000225462	212
ENSG00000237756	13
ENSG00000116147	40
ENSG00000213064	1975
ENSG00000203307	17
ENSG00000143179	345
ENSG00000271187	0
ENSG00000274562	0
ENSG00000143315	339
ENSG00000231175	0
ENSG00000143185	10
ENSG00000272931	3
ENSG00000143190	1191
ENSG00000225475	2
ENSG00000230898	16
ENSG00000232223	0
ENSG00000224698	0
ENSG00000287697	14
ENSG00000075945	1950
ENSG00000235303	0
ENSG00000234810	4
ENSG00000224468	31
ENSG00000235628	0
ENSG00000232551	0
ENSG00000092607	169
ENSG00000238270	0
ENSG00000285894	0
ENSG00000236025	0
ENSG00000230687	0
ENSG00000230704	0
ENSG00000283255	0
ENSG00000227741	60
ENSG00000237049	0
ENSG00000286754	0
ENSG00000232751	8
ENSG00000236364	25
ENSG00000117091	25
ENSG00000235378	1
ENSG00000143171	153
ENSG00000275767	10
ENSG00000224718	0
ENSG00000047410	7383
ENSG00000231992	44
ENSG00000018625	7416
ENSG00000171806	82
ENSG00000287919	6
ENSG00000233882	0
ENSG00000198358	4
ENSG00000134216	0
ENSG00000230748	13
ENSG00000254154	77
ENSG00000162694	230
ENSG00000238108	0
ENSG00000214262	0
ENSG00000215835	1776
ENSG00000118197	439
ENSG00000135842	18071
ENSG00000229258	0
ENSG00000287472	0
ENSG00000241318	105
ENSG00000228238	1
ENSG00000232393	1
ENSG00000184155	0
ENSG00000058085	80
ENSG00000260088	2
ENSG00000116815	278
ENSG00000232917	77
ENSG00000233057	56
ENSG00000237131	0
ENSG00000233946	0
ENSG00000143167	5
ENSG00000143184	9
ENSG00000260976	0
ENSG00000235215	0
ENSG00000224691	12
ENSG00000286572	6
ENSG00000235101	0
ENSG00000228215	0
ENSG00000177807	26
ENSG00000233626	3
ENSG00000233691	35
ENSG00000283518	9
ENSG00000271527	0
ENSG00000143228	34
ENSG00000235827	0
ENSG00000231615	82
ENSG00000231714	0
ENSG00000174514	225
ENSG00000143178	76
ENSG00000224837	149
ENSG00000116833	171
ENSG00000227740	13
ENSG00000260990	0
ENSG00000000457	424
ENSG00000143507	137
ENSG00000285638	0
ENSG00000284592	0
ENSG00000230987	121
ENSG00000232527	50
ENSG00000215833	43
ENSG00000228167	14
ENSG00000225325	0
ENSG00000223344	0
ENSG00000150732	0
ENSG00000157064	1650
ENSG00000288139	2
ENSG00000215808	15
ENSG00000059588	1230
ENSG00000237379	0
ENSG00000232959	0
ENSG00000122224	25
ENSG00000162782	1
ENSG00000238051	0
ENSG00000233196	0
ENSG00000229220	8
ENSG00000143653	1056
ENSG00000158711	2340
ENSG00000227747	0
ENSG00000228081	9
ENSG00000228020	0
ENSG00000234975	2051
ENSG00000162851	256
ENSG00000271427	5
ENSG00000143353	521
ENSG00000197965	1688
ENSG00000143493	392
ENSG00000230777	201
ENSG00000179397	43
ENSG00000224540	25
ENSG00000117592	3113
ENSG00000186197	13
ENSG00000229067	0
ENSG00000230231	0
ENSG00000227711	1
ENSG00000261182	0
ENSG00000228879	15
ENSG00000227925	1
ENSG00000162670	385
ENSG00000225712	325
ENSG00000162761	0
ENSG00000143199	45
ENSG00000179930	1
ENSG00000007908	15
ENSG00000092978	620
ENSG00000143499	833
ENSG00000188404	60
ENSG00000227735	0
ENSG00000143196	2032
ENSG00000228504	0
ENSG00000274702	0
ENSG00000226211	0
ENSG00000236942	265
ENSG00000287205	19
ENSG00000203697	8
ENSG00000116574	211
ENSG00000287929	2
ENSG00000224896	0
ENSG00000226292	0
ENSG00000121481	232
ENSG00000227940	0
ENSG00000143248	7154
ENSG00000224810	0
ENSG00000162814	34
ENSG00000225172	0
ENSG00000261642	0
ENSG00000228239	0
ENSG00000237283	0
ENSG00000116132	1550
ENSG00000238042	2
ENSG00000271475	0
ENSG00000231877	0
ENSG00000116679	3385
ENSG00000228536	32
ENSG00000230550	3
ENSG00000229242	0
ENSG00000228470	9
ENSG00000152092	93
ENSG00000234984	0
ENSG00000231648	0
ENSG00000229983	1
ENSG00000215149	0
ENSG00000225122	0
ENSG00000225920	99
ENSG00000143476	135
ENSG00000121486	802
ENSG00000228437	0
ENSG00000057252	720
ENSG00000225982	0
ENSG00000285718	1
ENSG00000234070	0
ENSG00000233620	0
ENSG00000237783	0
ENSG00000233018	0
ENSG00000123685	23
ENSG00000224783	0
ENSG00000162852	950
ENSG00000232792	15
ENSG00000273004	7
ENSG00000143842	1327
ENSG00000268062	4
ENSG00000237409	1
ENSG00000116962	5642
ENSG00000288078	0
ENSG00000271399	2
ENSG00000229757	0
ENSG00000232679	0
ENSG00000220749	591
ENSG00000181450	320
ENSG00000223519	74
ENSG00000120333	472
ENSG00000286285	2
ENSG00000225300	58
ENSG00000223842	35
ENSG00000162753	28
ENSG00000228247	0
ENSG00000231424	26
ENSG00000143355	14
ENSG00000287177	0
ENSG00000237193	0
ENSG00000223490	2
ENSG00000121644	612
ENSG00000174502	829
ENSG00000224286	0
ENSG00000158715	166
ENSG00000143195	521
ENSG00000162849	44
ENSG00000232824	24
ENSG00000273416	8
ENSG00000234142	0
ENSG00000282111	0
ENSG00000233410	0
ENSG00000067533	410
ENSG00000228955	18
ENSG00000270443	0
ENSG00000116209	3816
ENSG00000224702	0
ENSG00000271811	131
ENSG00000224278	0
ENSG00000235492	0
ENSG00000287808	19
ENSG00000229840	0
ENSG00000116161	401
ENSG00000226486	0
ENSG00000227687	0
ENSG00000231814	0
ENSG00000286210	9
ENSG00000287364	1
ENSG00000225063	3
ENSG00000260698	19
ENSG00000277007	55
ENSG00000229016	2
ENSG00000152104	2386
ENSG00000236975	4
ENSG00000286541	1
ENSG00000117650	24
ENSG00000235021	0
ENSG00000203724	24
ENSG00000225006	0
ENSG00000287633	1
ENSG00000158764	16
ENSG00000223375	1
ENSG00000230714	0
ENSG00000261065	0
ENSG00000260855	197
ENSG00000236206	0
ENSG00000168118	1038
ENSG00000181101	52
ENSG00000173726	2162
ENSG00000282852	14
ENSG00000152382	279
ENSG00000143839	18
ENSG00000232100	0
ENSG00000261024	7
ENSG00000230547	1
ENSG00000229703	0
ENSG00000176754	1
ENSG00000232309	0
ENSG00000227953	121
ENSG00000232215	1
ENSG00000135829	1981
ENSG00000228289	0
ENSG00000134717	306
ENSG00000232989	2
ENSG00000233537	0
ENSG00000116668	369
ENSG00000143756	690
ENSG00000278180	0
ENSG00000232341	1
ENSG00000287676	39
ENSG00000236792	41
ENSG00000143207	667
ENSG00000270859	0
ENSG00000238224	1
ENSG00000286775	0
ENSG00000237492	0
ENSG00000230404	0
ENSG00000213036	172
ENSG00000236230	0
ENSG00000026751	35
ENSG00000150681	18
ENSG00000116906	1664
ENSG00000092969	208
ENSG00000157181	615
ENSG00000250762	15
ENSG00000236720	0
ENSG00000227421	0
ENSG00000227240	2
ENSG00000076258	251
ENSG00000286073	0
ENSG00000231084	11
ENSG00000117697	788
ENSG00000235083	0
ENSG00000162669	183
ENSG00000132681	75
ENSG00000225904	0
ENSG00000270920	0
ENSG00000281664	2
ENSG00000143641	1762
ENSG00000227630	25
ENSG00000228830	0
ENSG00000010932	40
ENSG00000282849	0
ENSG00000276520	0
ENSG00000226640	0
ENSG00000010072	234
ENSG00000135766	1299
ENSG00000232096	0
ENSG00000279261	0
ENSG00000213051	32
ENSG00000238054	0
ENSG00000163534	4
ENSG00000168243	1
ENSG00000281453	0
ENSG00000237469	0
ENSG00000224939	2
ENSG00000227613	8
ENSG00000116183	69
ENSG00000270106	10
ENSG00000232194	0
ENSG00000235152	0
ENSG00000231612	0
ENSG00000237980	9
ENSG00000271036	0
ENSG00000230849	481
ENSG00000170382	452
ENSG00000228664	0
ENSG00000226868	0
ENSG00000279401	0
ENSG00000272362	0
ENSG00000287450	1
ENSG00000237011	0
ENSG00000233583	18
ENSG00000066027	1580
ENSG00000286263	4
ENSG00000227006	45
ENSG00000236372	0
ENSG00000224525	2
ENSG00000173728	1
ENSG00000094975	1017
ENSG00000225811	8
ENSG00000273093	0
ENSG00000162772	90
ENSG00000227818	0
ENSG00000135828	362
ENSG00000286398	0
ENSG00000076356	2942
ENSG00000215819	0
ENSG00000185523	3
ENSG00000236108	0
ENSG00000116711	281
ENSG00000231684	551
ENSG00000226750	17
ENSG00000285665	195
ENSG00000231022	0
ENSG00000224436	0
ENSG00000228208	0
ENSG00000273384	2
ENSG00000238061	20
ENSG00000234915	3
ENSG00000143845	196
ENSG00000235862	0
ENSG00000227585	0
ENSG00000157060	1
ENSG00000237213	0
ENSG00000224260	0
ENSG00000213045	0
ENSG00000287220	21
ENSG00000230063	13
ENSG00000235467	0
ENSG00000123684	1419
ENSG00000117707	2589
ENSG00000228044	1
ENSG00000225338	29
ENSG00000224407	0
ENSG00000232463	1
ENSG00000237457	6
ENSG00000225171	18
ENSG00000226843	0
ENSG00000235386	7
ENSG00000123836	2637
ENSG00000213690	0
ENSG00000223982	0
ENSG00000229832	18
ENSG00000117691	1214
ENSG00000225233	1
ENSG00000274895	42
ENSG00000237514	17
ENSG00000287856	0
ENSG00000228067	0
ENSG00000226375	11
ENSG00000203705	584
ENSG00000224040	15
ENSG00000228686	30
ENSG00000279838	123
ENSG00000174175	342
ENSG00000236401	0
ENSG00000241475	0
ENSG00000215800	0
ENSG00000286421	0
ENSG00000270936	5
ENSG00000008118	24
ENSG00000171161	1040
ENSG00000241505	0
ENSG00000224535	2
ENSG00000282097	1
ENSG00000261453	0
