Geneid	HS16	HS17
ENSG00000000003	223	297
ENSG00000000005	5	6
ENSG00000000419	693	837
ENSG00000000457	343	424
ENSG00000000460	129	136
ENSG00000000938	39	68
ENSG00000000971	659	1417
ENSG00000001036	462	512
ENSG00000001084	519	592
ENSG00000001167	593	736
ENSG00000001460	113	174
ENSG00000001461	1581	1506
ENSG00000001497	781	861
ENSG00000001561	963	911
ENSG00000001617	191	342
ENSG00000001626	12	15
ENSG00000001629	1340	1580
ENSG00000001630	71	73
ENSG00000001631	641	830
ENSG00000002016	477	539
ENSG00000002079	33	32
ENSG00000002330	443	451
ENSG00000002549	814	1058
ENSG00000002586	1	1
ENSG00000002587	156	85
ENSG00000002726	23	10
ENSG00000002745	1	9
ENSG00000002746	24	3
ENSG00000002822	80	91
ENSG00000002834	1108	1400
ENSG00000002919	227	294
ENSG00000002933	830	393
ENSG00000003056	1176	1328
ENSG00000003096	258	267
ENSG00000003137	239	280
ENSG00000003147	1484	1157
ENSG00000003249	61	55
ENSG00000003393	2759	2625
ENSG00000003400	380	503
ENSG00000003402	14117	16311
ENSG00000003436	1279	1463
ENSG00000003509	393	443
ENSG00000003756	2378	2787
ENSG00000003987	76	91
ENSG00000003989	1522	2275
ENSG00000004059	362	460
ENSG00000004139	210	259
ENSG00000004142	1896	1965
ENSG00000004399	3477	5058
ENSG00000004455	2222	2397
ENSG00000004468	183	138
ENSG00000004478	1059	1081
ENSG00000004487	1626	1964
ENSG00000004534	2601	2664
ENSG00000004660	184	410
ENSG00000004700	435	460
ENSG00000004766	678	755
ENSG00000004776	274	286
ENSG00000004777	143	209
ENSG00000004779	3812	3618
ENSG00000004799	4069	4826
ENSG00000004809	0	0
ENSG00000004838	30	21
ENSG00000004846	2	0
ENSG00000004848	1	0
ENSG00000004864	320	400
ENSG00000004866	675	628
ENSG00000004897	1678	1765
ENSG00000004939	4	3
ENSG00000004948	10	10
ENSG00000004961	653	663
ENSG00000004975	615	733
ENSG00000005001	0	2
ENSG00000005007	1914	2244
ENSG00000005020	262	334
ENSG00000005022	1109	1406
ENSG00000005059	139	181
ENSG00000005073	0	0
ENSG00000005075	390	389
ENSG00000005100	295	395
ENSG00000005102	287	388
ENSG00000005108	344	428
ENSG00000005156	760	905
ENSG00000005175	426	433
ENSG00000005187	390	639
ENSG00000005189	114	110
ENSG00000005194	708	829
ENSG00000005206	645	731
ENSG00000005238	544	689
ENSG00000005243	541	374
ENSG00000005249	1037	1510
ENSG00000005302	318	386
ENSG00000005339	4029	4412
ENSG00000005379	1133	1064
ENSG00000005381	17	19
ENSG00000005421	38	22
ENSG00000005436	533	584
ENSG00000005448	88	113
ENSG00000005469	302	317
ENSG00000005471	433	505
ENSG00000005483	2927	3264
ENSG00000005486	606	608
ENSG00000005513	98	86
ENSG00000005700	2244	2392
ENSG00000005801	487	560
ENSG00000005810	6066	7873
ENSG00000005812	741	936
ENSG00000005844	87	201
ENSG00000005882	2142	1879
ENSG00000005884	1065	1143
ENSG00000005889	1606	1763
ENSG00000005893	1830	2425
ENSG00000005961	104	108
ENSG00000005981	202	112
ENSG00000006007	1834	1881
ENSG00000006015	537	640
ENSG00000006016	33	68
ENSG00000006025	302	337
ENSG00000006042	527	752
ENSG00000006047	143	408
ENSG00000006059	0	0
ENSG00000006062	660	605
ENSG00000006071	287	338
ENSG00000006116	0	0
ENSG00000006118	252	180
ENSG00000006125	4543	5147
ENSG00000006128	6	0
ENSG00000006194	303	331
ENSG00000006210	533	544
ENSG00000006282	1444	2425
ENSG00000006283	480	309
ENSG00000006327	99	38
ENSG00000006377	1	3
ENSG00000006432	146	183
ENSG00000006451	594	588
ENSG00000006453	148	146
ENSG00000006459	1649	1614
ENSG00000006468	1170	1264
ENSG00000006530	318	332
ENSG00000006534	102	138
ENSG00000006555	7	6
ENSG00000006576	735	767
ENSG00000006606	7	3
ENSG00000006607	743	922
ENSG00000006611	22	8
ENSG00000006625	112	89
ENSG00000006634	35	76
ENSG00000006638	60	137
ENSG00000006652	402	274
ENSG00000006659	0	0
ENSG00000006695	989	1110
ENSG00000006704	591	735
ENSG00000006712	1203	1113
ENSG00000006715	1479	1611
ENSG00000006740	429	429
ENSG00000006744	1603	1845
ENSG00000006747	12	33
ENSG00000006756	306	420
ENSG00000006757	412	447
ENSG00000006788	76	70
ENSG00000006831	1721	2108
ENSG00000006837	38	27
ENSG00000007001	8	10
ENSG00000007038	0	1
ENSG00000007047	635	749
ENSG00000007062	521	306
ENSG00000007080	527	481
ENSG00000007129	0	0
ENSG00000007168	4718	4746
ENSG00000007171	9	30
ENSG00000007174	15	29
ENSG00000007202	3079	3334
ENSG00000007216	0	0
ENSG00000007237	5005	5227
ENSG00000007255	140	152
ENSG00000007264	3	35
ENSG00000007306	0	0
ENSG00000007312	10	13
ENSG00000007314	107	52
ENSG00000007341	438	469
ENSG00000007350	148	135
ENSG00000007372	5	9
ENSG00000007376	172	196
ENSG00000007384	651	585
ENSG00000007392	1026	1114
ENSG00000007402	2154	1489
ENSG00000007516	129	179
ENSG00000007520	392	403
ENSG00000007541	425	463
ENSG00000007545	440	479
ENSG00000007866	711	677
ENSG00000007908	93	12
ENSG00000007923	1580	1777
ENSG00000007933	121	102
ENSG00000007944	613	742
ENSG00000007952	1	3
ENSG00000007968	8	2
ENSG00000008018	1647	1798
ENSG00000008056	63	75
ENSG00000008083	819	754
ENSG00000008086	1494	1309
ENSG00000008118	18	6
ENSG00000008128	45	44
ENSG00000008130	587	774
ENSG00000008196	0	6
ENSG00000008197	0	0
ENSG00000008226	78	108
ENSG00000008256	1655	1640
ENSG00000008277	283	505
ENSG00000008282	1242	1241
ENSG00000008283	603	648
ENSG00000008294	4179	4800
ENSG00000008300	48	74
ENSG00000008311	1284	2411
ENSG00000008323	74	142
ENSG00000008324	84	124
ENSG00000008382	170	204
ENSG00000008394	205	717
ENSG00000008405	406	338
ENSG00000008438	8	18
ENSG00000008441	2974	3367
ENSG00000008513	5763	6442
ENSG00000008516	34	34
ENSG00000008517	283	348
ENSG00000008710	6780	8052
ENSG00000008735	19	36
ENSG00000008838	1242	1399
ENSG00000008853	926	988
ENSG00000008869	1569	1524
ENSG00000008952	1992	2349
ENSG00000008988	6018	6482
ENSG00000009307	21221	20989
ENSG00000009335	2755	2870
ENSG00000009413	2070	2159
ENSG00000009694	39	40
ENSG00000009709	1	0
ENSG00000009724	171	233
ENSG00000009765	0	0
ENSG00000009780	359	455
ENSG00000009790	114	146
ENSG00000009830	498	509
ENSG00000009844	590	651
ENSG00000009950	85	248
ENSG00000009954	3101	3768
ENSG00000010017	732	726
ENSG00000010030	4	9
ENSG00000010072	202	260
ENSG00000010165	457	472
ENSG00000010219	307	289
ENSG00000010244	2895	3805
ENSG00000010256	8122	7710
ENSG00000010270	558	589
ENSG00000010278	1123	1329
ENSG00000010282	4647	5901
ENSG00000010292	726	779
ENSG00000010295	653	772
ENSG00000010310	527	589
ENSG00000010318	230	249
ENSG00000010319	614	604
ENSG00000010322	2977	3410
ENSG00000010327	2210	2686
ENSG00000010361	256	255
ENSG00000010379	322	258
ENSG00000010404	627	662
ENSG00000010438	1	1
ENSG00000010539	229	238
ENSG00000010610	376	409
ENSG00000010626	221	225
ENSG00000010671	56	76
ENSG00000010704	297	352
ENSG00000010803	1477	1533
ENSG00000010810	1243	1540
ENSG00000010818	2501	3260
ENSG00000010932	19	13
ENSG00000011007	1167	1318
ENSG00000011009	476	488
ENSG00000011021	1253	1451
ENSG00000011028	3710	4287
ENSG00000011052	0	0
ENSG00000011083	1	4
ENSG00000011105	5695	5798
ENSG00000011114	20	18
ENSG00000011132	290	292
ENSG00000011143	251	268
ENSG00000011198	535	666
ENSG00000011201	304	327
ENSG00000011243	1528	1560
ENSG00000011258	714	749
ENSG00000011260	195	227
ENSG00000011275	1792	1715
ENSG00000011295	1147	1272
ENSG00000011304	1368	1539
ENSG00000011332	2	1
ENSG00000011347	1351	1027
ENSG00000011376	882	1019
ENSG00000011405	2372	3139
ENSG00000011422	167	96
ENSG00000011426	29	34
ENSG00000011451	1093	1094
ENSG00000011454	2454	2698
ENSG00000011465	21451	30971
ENSG00000011478	75	88
ENSG00000011485	1373	1589
ENSG00000011523	1857	2072
ENSG00000011566	1653	1545
ENSG00000011590	26	73
ENSG00000011600	133	116
ENSG00000011638	1839	1765
ENSG00000011677	0	0
ENSG00000012048	533	511
ENSG00000012061	1248	1245
ENSG00000012124	6	7
ENSG00000012171	1367	1517
ENSG00000012174	530	596
ENSG00000012211	151	171
ENSG00000012223	24	34
ENSG00000012232	3162	2823
ENSG00000012504	11	6
ENSG00000012660	711	1063
ENSG00000012779	0	0
ENSG00000012817	2704	3028
ENSG00000012822	4216	4209
ENSG00000012963	7	3
ENSG00000012983	636	719
ENSG00000013016	739	545
ENSG00000013275	1121	1104
ENSG00000013288	1685	2156
ENSG00000013293	12	33
ENSG00000013297	65	187
ENSG00000013306	864	938
ENSG00000013364	1307	1539
ENSG00000013374	959	1104
ENSG00000013375	715	796
ENSG00000013392	225	283
ENSG00000013441	2368	2568
ENSG00000013503	420	455
ENSG00000013523	1156	1176
ENSG00000013561	1569	1807
ENSG00000013563	354	347
ENSG00000013573	291	284
ENSG00000013583	412	383
ENSG00000013588	162	213
ENSG00000013619	89	235
ENSG00000013725	12	61
ENSG00000013810	216	194
ENSG00000014123	1087	1237
ENSG00000014138	68	94
ENSG00000014164	138	158
ENSG00000014216	2008	2208
ENSG00000014257	15	24
ENSG00000014641	15247	15057
ENSG00000014824	2205	2266
ENSG00000014914	235	185
ENSG00000014919	568	639
ENSG00000015133	316	506
ENSG00000015153	969	1120
ENSG00000015171	2765	2901
ENSG00000015285	52	68
ENSG00000015413	0	1
ENSG00000015475	230	231
ENSG00000015479	605	806
ENSG00000015520	6	19
ENSG00000015532	798	924
ENSG00000015568	18	26
ENSG00000015592	0	1
ENSG00000015676	2708	3068
ENSG00000016082	0	0
ENSG00000016391	311	228
ENSG00000016402	84	37
ENSG00000016490	2	2
ENSG00000016602	0	0
ENSG00000016864	631	763
ENSG00000017260	2171	1808
ENSG00000017427	57	98
ENSG00000017483	35	45
ENSG00000017797	1551	1408
ENSG00000018189	1339	1637
ENSG00000018236	58	84
ENSG00000018280	65	86
ENSG00000018408	1306	1270
ENSG00000018510	979	1036
ENSG00000018607	1	0
ENSG00000018610	326	312
ENSG00000018625	10815	5898
ENSG00000018699	398	554
ENSG00000018869	105	103
ENSG00000019102	85	129
ENSG00000019144	6539	7512
ENSG00000019169	389	582
ENSG00000019186	0	0
ENSG00000019485	1233	1420
ENSG00000019505	834	318
ENSG00000019549	253	419
ENSG00000019582	4395	6567
ENSG00000019991	180	187
ENSG00000019995	1076	1021
ENSG00000020129	1013	1091
ENSG00000020181	1226	1791
ENSG00000020219	0	1
ENSG00000020256	347	366
ENSG00000020426	283	345
ENSG00000020577	7113	6771
ENSG00000020633	28	70
ENSG00000020922	487	546
ENSG00000021300	542	365
ENSG00000021355	613	673
ENSG00000021461	3	9
ENSG00000021488	4	12
ENSG00000021574	350	387
ENSG00000021645	402	227
ENSG00000021762	674	913
ENSG00000021776	1120	1418
ENSG00000021826	204	220
ENSG00000021852	0	0
ENSG00000022267	9410	7079
ENSG00000022277	959	977
ENSG00000022355	0	1
ENSG00000022556	0	0
ENSG00000022567	1009	860
ENSG00000022840	3786	3672
ENSG00000022976	284	294
ENSG00000023041	567	726
ENSG00000023171	196	355
ENSG00000023191	23	340
ENSG00000023228	11070	11910
ENSG00000023287	3335	3349
ENSG00000023318	1095	1383
ENSG00000023330	1569	1758
ENSG00000023445	382	546
ENSG00000023516	3500	4243
ENSG00000023572	299	411
ENSG00000023608	212	175
ENSG00000023697	238	229
ENSG00000023734	1686	1539
ENSG00000023839	29	37
ENSG00000023892	58	112
ENSG00000023902	476	402
ENSG00000023909	198	239
ENSG00000024048	3070	3672
ENSG00000024422	1176	1334
ENSG00000024526	7	7
ENSG00000024862	312	282
ENSG00000025039	3529	3744
ENSG00000025156	856	1049
ENSG00000025293	1685	2033
ENSG00000025423	3	3
ENSG00000025434	438	550
ENSG00000025708	404	395
ENSG00000025770	593	677
ENSG00000025772	308	289
ENSG00000025796	1665	2031
ENSG00000025800	3636	3676
ENSG00000026025	5150	6995
ENSG00000026036	157	192
ENSG00000026103	621	520
ENSG00000026297	506	566
ENSG00000026508	737	1063
ENSG00000026559	15	6
ENSG00000026652	416	582
ENSG00000026751	6	40
ENSG00000026950	478	853
ENSG00000027001	882	748
ENSG00000027075	693	1272
ENSG00000027644	72	23
ENSG00000027697	2414	2577
ENSG00000027847	320	371
ENSG00000027869	66	42
ENSG00000028116	409	395
ENSG00000028137	580	713
ENSG00000028203	1788	1938
ENSG00000028277	49	50
ENSG00000028310	978	961
ENSG00000028528	3560	4097
ENSG00000028839	172	238
ENSG00000029153	29	28
ENSG00000029363	2416	2789
ENSG00000029364	942	1171
ENSG00000029534	1838	1707
ENSG00000029559	0	1
ENSG00000029639	294	299
ENSG00000029725	1085	1265
ENSG00000029993	110	156
ENSG00000030066	1125	1221
ENSG00000030110	230	298
ENSG00000030304	369	335
ENSG00000030419	444	504
ENSG00000030582	3363	3283
